№ УИК,Адрес голосования,Координаты
1065.0,"198330, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Маршала Захарова улица, дом 52, ",59.851896 30.206458
1066.0,"198330, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Маршала Захарова улица, дом 52, ",59.851896 30.206458
1067.0,"198330, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Маршала Захарова улица, дом 58, ",59.851064 30.209423
1068.0,"198330, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Маршала Захарова улица, дом 58, ",59.851064 30.209423
1069.0,"198330, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Маршала Захарова улица, дом 58, ",59.851064 30.209423
1070.0,"198330, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Маршала Захарова улица, дом 58, ",59.851064 30.209423
1071.0,"198332, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Ленинский проспект, дом 94, корпус 2, ",59.855808 30.2157079
1072.0,"198332, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Ленинский проспект, дом 94, корпус 2, ",59.855808 30.2157079
1073.0,"198332, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Котина улица, дом 6, корпус 3, ",59.85789599999999 30.2083
1074.0,"198332, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Котина улица, дом 6, корпус 3, ",59.85789599999999 30.2083
1075.0,"198332, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Котина улица, дом 6, корпус 3, ",59.85789599999999 30.2083
1076.0,"198332, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Маршала Казакова улица, дом 30, ",59.859027 30.21991
1077.0,"198332, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Ленинский проспект, дом 94, корпус 2, ",59.855808 30.2157079
1078.0,"198332, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Ленинский проспект, дом 94, корпус 2, ",59.855808 30.2157079
1079.0,"198332, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Маршала Жукова проспект, дом 33, корпус 2, ",59.85747199999999 30.223502
1080.0,"198332, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Маршала Жукова проспект, дом 33, корпус 2, ",59.85747199999999 30.223502
1081.0,"198332, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Маршала Жукова проспект, дом 33, корпус 2, ",59.85747199999999 30.223502
1082.0,"198332, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Маршала Казакова улица, дом 30, ",59.859027 30.21991
